original_phrase,cluster_id,cluster_name
The K-cup hot chocolates tasted terrible.,91,Watery Hot Chocolate
The hot chocolate K-Cup is too watery.,91,Watery Hot Chocolate
K-cup contains too little chocolate for flavor.,91,Watery Hot Chocolate
Hot chocolate K-Cups are watery and grainy.,91,Watery Hot Chocolate
Insufficient chocolate in k-cup causes watery taste.,91,Watery Hot Chocolate
The product is too watery and lacks creaminess.,189,Watery Uncreamy
Defective product causes mushy texture and stomach aches.,189,Watery Uncreamy
Product is too watery and lacks flavor.,189,Watery Uncreamy
Too watery and lacks creaminess.,189,Watery Uncreamy
The drink is too watery and tasteless.,189,Watery Uncreamy
Too watery at recommended settings.,189,Watery Uncreamy
The product is too watery and tasteless.,189,Watery Uncreamy
"Weak flavor, not cocoa taste.",72,Weak Cocoa Flavor
Cocoa flavor does not match expected taste.,72,Weak Cocoa Flavor
Product lacks cocoa flavor and is weak.,72,Weak Cocoa Flavor
"Missing cocoa flavor, like sugar free Swiss Miss.",72,Weak Cocoa Flavor
Taste does not match expected cocoa flavor.,72,Weak Cocoa Flavor
Product lacks cocoa flavor and is too weak.,72,Weak Cocoa Flavor
Missing cocoa flavor is the root cause.,72,Weak Cocoa Flavor
Inferior taste compared to other raw cacao.,72,Weak Cocoa Flavor
Decaf pods produce weak coffee requiring two pods.,8,Weak Coffee Pods
"Pod contains too little coffee, causing weak brew.",8,Weak Coffee Pods
"Pods waste contents, defeating their purpose.",8,Weak Coffee Pods
Decaf pods produce insufficiently strong coffee.,8,Weak Coffee Pods
Insufficient coffee grounds in the pod.,8,Weak Coffee Pods
Pods fail to release all contents effectively.,8,Weak Coffee Pods
Decaf pods lack sufficient strength.,8,Weak Coffee Pods
Pod contains too little coffee grounds.,8,Weak Coffee Pods
Pods fail to dispense their full contents.,8,Weak Coffee Pods
Pods waste product by trapping contents inside.,8,Weak Coffee Pods
The pod is very difficult to open.,8,Weak Coffee Pods
Pod is too difficult to open without breaking.,8,Weak Coffee Pods
Flavor does not last long enough.,215,Weak Flavor Duration
The vanilla flavor is bland and lacks taste.,215,Weak Flavor Duration
Ginger flavor is overpowering and lacks distinction.,215,Weak Flavor Duration
The flavor is bland and undefinable.,215,Weak Flavor Duration
Overwhelming spiciness kills the flavor.,215,Weak Flavor Duration
"Melitta pods produce weak, tasteless coffee.",20,Weak Melitta Pods
"Melitta pods produce weak, tasteless coffee.",20,Weak Melitta Pods
"Melitta pods produce weak, tasteless coffee.",20,Weak Melitta Pods
Mints are too weak to freshen breath.,49,Weak Mints
Mints are too weak and small for breath freshening.,49,Weak Mints
Too weak to effectively freshen breath.,49,Weak Mints
Software incompatible with Windows 7.,128,Windows 7 Incompatible
The Icicle is incompatible with Windows 7.,128,Windows 7 Incompatible
Blue failed to provide a working Windows 7 driver.,128,Windows 7 Incompatible
Firmware incompatible with Windows 7.,128,Windows 7 Incompatible
Product not compatible with Windows 7.,128,Windows 7 Incompatible
Poor seal caused wine to turn to vinegar.,216,Wine Turned Vinegar
The wine was likely oxidized from a faulty seal.,216,Wine Turned Vinegar
Bad seal caused wine to turn to vinegar.,216,Wine Turned Vinegar
Product tastes nothing like banana runts and is yucky.,241,Wrong Candy Flavor
Tastes nothing like banana runts and is yucky.,241,Wrong Candy Flavor
Tastes nothing like banana runts and is bad.,241,Wrong Candy Flavor
"Chips taste like BBQ, not ketchup.",225,Wrong Chip Flavor
"The chips taste like barbecue, not ketchup.",225,Wrong Chip Flavor
Chips have smoky BBQ flavor instead of ketchup.,225,Wrong Chip Flavor
Extreme salt and vinegar taste makes chips inedible.,225,Wrong Chip Flavor
Not vinegary enough for the customer's taste.,225,Wrong Chip Flavor
Chips have very mild salt and vinegar flavor.,225,Wrong Chip Flavor
The chips have very mild salt and vinegar flavor.,225,Wrong Chip Flavor
Excessive vinegar flavor overpowering the chips.,225,Wrong Chip Flavor
Excessive vinegar flavor overshadows the salt.,225,Wrong Chip Flavor
Chips have too much vinegar flavor.,225,Wrong Chip Flavor
Sampler contained hot drinks instead of iced summer drinks.,2,Wrong Drink Type
Sampler set had missing flavors and imbalance.,2,Wrong Drink Type
"Sampler had mostly hot drinks, not iced.",2,Wrong Drink Type
"Sampler contained hot drinks, not iced summer ones.",2,Wrong Drink Type
"Sampler contained hot drinks, not iced drinks.",2,Wrong Drink Type
Received all white chocolates instead of assorted.,78,Wrong Expired Chocolates
The chocolates were expired on arrival.,78,Wrong Expired Chocolates
Received all white chocolates instead of assorted.,78,Wrong Expired Chocolates
Expired chocolates were discolored and dry.,78,Wrong Expired Chocolates
Overpaid for hot chocolate due to expensive shipping.,78,Wrong Expired Chocolates
"Ordered assorted chocolates, got only white.",78,Wrong Expired Chocolates
Chocolates were expired before purchase.,78,Wrong Expired Chocolates
Inadequate shipping protection caused chocolate melting.,78,Wrong Expired Chocolates
Improper storage caused chocolate to fall off.,78,Wrong Expired Chocolates
Improper storage caused chocolate to separate and stick.,78,Wrong Expired Chocolates
Improper storage caused the chocolate to fall off.,78,Wrong Expired Chocolates
Melted chocolates due to inadequate shipping protection.,78,Wrong Expired Chocolates
Chocolates melted due to inadequate shipping protection.,78,Wrong Expired Chocolates
"Teabags tasted like black licorice, not rootbeer.",44,Wrong Flavor Profile
"Teabags tasted like black licorice, not rootbeer.",44,Wrong Flavor Profile
"Sassafras teabags tasted like black licorice, not rootbeer.",44,Wrong Flavor Profile
Seller substituted winter flavors for ordered summer teas.,42,Wrong Flavor Substitution
Seller substituted winter coffee flavors for ordered summer tea.,42,Wrong Flavor Substitution
Seller substituted winter coffee for summer tea.,42,Wrong Flavor Substitution
Product described as powder but actually granules.,176,Wrong Form Description
"Product falsely described as powder, not granules.",176,Wrong Form Description
Product was misrepresented as powder but is granules.,176,Wrong Form Description
Product described as powder but is granules.,176,Wrong Form Description
Grape flavor instead of expected sugar plum.,133,Wrong Fruit Flavor
"Expected sugar plum, got grape flavor.",133,Wrong Fruit Flavor
"Flavor is grape, not expected sugar plum.",133,Wrong Fruit Flavor
The olive juice is excessively salty.,164,Wrong Olive Product
Product labeled olive juice but is actually lactic acid.,164,Wrong Olive Product
"Product mislabeled as olive juice, actually lactic acid.",164,Wrong Olive Product
Product packaging was not as advertised.,190,Wrong Packaging
Packaging differed from advertised description.,190,Wrong Packaging
Wrong brand shipped instead of advertised.,190,Wrong Packaging
Wrong pudding type delivered instead of ordered.,167,Wrong Pudding Type
Received substitution instead of ordered flavor.,167,Wrong Pudding Type
Wrong pudding type sent instead of ordered.,167,Wrong Pudding Type
Wrong pudding type sent instead of ordered.,167,Wrong Pudding Type
Calorie count not shown at time of order.,167,Wrong Pudding Type
Sent wrong item and incorrect quantity.,202,Wrong Quantity
Sent wrong item and only one of three.,202,Wrong Quantity
"Sent one package instead of three, and wrong item.",202,Wrong Quantity
"Product is chili sauce, not sweet and sour.",193,Wrong Sauce Type
"Tastes like chili sauce, not sweet and sour.",193,Wrong Sauce Type
"The product is chili sauce, not sweet and sour.",193,Wrong Sauce Type
"Ordered teas and coffee, received holiday flavors instead.",39,Wrong Seasonal Flavors
Order included wrong holiday drinks instead of teas.,39,Wrong Seasonal Flavors
Received winter flavors in summer.,39,Wrong Seasonal Flavors
Received holiday coffees and cider instead of ordered teas.,39,Wrong Seasonal Flavors
Received winter flavors instead of ordered summer tea.,39,Wrong Seasonal Flavors
